"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","JoshAllenBrown Town Clowns","Big Dick Nick","73.7","77.0"
"","Team Trosch","The Little Giants","109.4","147.4"
"","Medical Malpractice","Team Shernisky","68.6","77.4"
"","Diddlers on the Roof","Dirty Dick Dave","118.0","78.9"
"","Brown Town Clowns","Meadville Militia","79.1","98.7"
"","Black Juliet's","The Waiver Wire","91.2","56.5"
"","The Brady Bunch","Team Girth Brooks","94.2","66.5"
"2019","John Brown Town Clowns","Meadville Militia","123.6","130.7"
"","Team Trosch","The Waiver Wire","71.6","69.3"
"","Big Dick Nick","Medical Malpractice","87.3","132.8"
"","Brown Town Clowns","A$$ and TD's","83.6","129.7"
"","Black Juliet's","Dirty Dick Dave","69.7","112.6"
"","DeDes Nuts","The Little Giants","80.5","83.7"
"","Team Girth Brooks","Diddlers on the Roof","74.5","116.3"
"","A$$ and TD's","John Brown Town Clowns","85.4","59.6"
"","Diddlers on the Roof","The Little Giants","107.5","118.2"
"","DeDes Nuts","Brown Town Clowns","105.8","85.6"
"","Team Trosch","Big Dick Nick","80.5","93.7"
"","Dirty Dick Dave","The Waiver Wire","64.2","96.0"
"","Black Juliet's","Team Girth Brooks","99.5","78.7"
"","Meadville Militia","Medical Malpractice","71.9","132.6"
"","Big Dick Nick","John Brown Town Clowns","80.5","109.1"
"","Team Trosch","Brown Town Clowns","79.2","98.8"
"","The Waiver Wire","Diddlers on the Roof","131.7","69.9"
"","Meadville Militia","Team Girth Brooks","123.9","91.3"
"","A$$ and TD's","Medical Malpractice","101.1","138.1"
"","DeDes Nuts","Dirty Dick Dave","71.2","105.1"
"","The Little Giants","Black Juliet's","95.7","91.0"
"","John Brown Town Clowns","Diddlers on the Roof","56.5","81.5"
"","Dirty Dick Dave","Big Dick Nick","109.3","83.1"
"","DeDes Nuts","Black Juliet's","83.4","129.1"
"","Meadville Militia","Brown Town Clowns","79.9","86.8"
"","Medical Malpractice","Team Girth Brooks","105.6","82.4"
"","The Little Giants","The Waiver Wire","67.8","74.7"
"","A$$ and TD's","Team Trosch","89.1","79.1"
"","John Brown Town Clowns","Team Girth Brooks","119.8","95.4"
"","A$$ and TD's","Black Juliet's","71.5","81.4"
"","Diddlers on the Roof","Big Dick Nick","77.8","103.3"
"","The Little Giants","Brown Town Clowns","93.3","111.5"
"","The Waiver Wire","DeDes Nuts","120.4","140.4"
"","Dirty Dick Dave","Medical Malpractice","88.2","78.2"
"","Meadville Militia","Team Trosch","137.1","95.6"
"","John Brown Town Clowns","The Waiver Wire","53.5","70.9"
"","DeDes Nuts","Big Dick Nick","99.1","87.6"
"","Brown Town Clowns","Team Girth Brooks","117.0","58.6"
"","Dirty Dick Dave","A$$ and TD's","66.4","94.4"
"","The Little Giants","Meadville Militia","94.6","84.8"
"","Medical Malpractice","Black Juliet's","114.2","138.8"
"","Diddlers on the Roof","Team Trosch","119.0","83.6"
"","DeDes Nuts","John Brown Town Clowns","108.9","59.2"
"","Team Trosch","Medical Malpractice","69.5","74.2"
"","The Waiver Wire","Brown Town Clowns","85.4","76.5"
"","Meadville Militia","Black Juliet's","66.1","74.3"
"","Dirty Dick Dave","Diddlers on the Roof","102.4","101.8"
"","Team Girth Brooks","Big Dick Nick","84.3","60.6"
"","The Little Giants","A$$ and TD's","75.3","76.5"
"","John Brown Town Clowns","Medical Malpractice","87.6","129.9"
"","The Waiver Wire","A$$ and TD's","65.7","99.6"
"","Brown Town Clowns","Big Dick Nick","82.7","92.7"
"","DeDes Nuts","Team Trosch","101.6","82.7"
"","Black Juliet's","Diddlers on the Roof","124.4","87.0"
"","Team Girth Brooks","The Little Giants","89.6","137.6"
"","Dirty Dick Dave","Meadville Militia","85.6","106.2"
"","John Brown Town Clowns","Brown Town Clowns","67.8","116.1"
"","Team Trosch","Black Juliet's","79.3","88.6"
"","Big Dick Nick","The Waiver Wire","109.3","115.3"
"","Dirty Dick Dave","Team Girth Brooks","105.6","58.1"
"","The Little Giants","Medical Malpractice","81.7","93.5"
"","A$$ and TD's","Meadville Militia","88.8","89.3"
"","DeDes Nuts","Diddlers on the Roof","99.7","118.5"
"","John Brown Town Clowns","The Little Giants","90.5","89.2"
"","Dirty Dick Dave","Team Trosch","83.3","101.2"
"","Big Dick Nick","Black Juliet's","111.1","82.2"
"","DeDes Nuts","A$$ and TD's","99.4","74.6"
"","Team Girth Brooks","The Waiver Wire","74.2","73.1"
"","Brown Town Clowns","Medical Malpractice","91.7","118.9"
"","Meadville Militia","Diddlers on the Roof","133.1","107.3"
"","John Brown Town Clowns","Dirty Dick Dave","85.7","122.5"
"","Team Trosch","Team Girth Brooks","73.8","68.8"
"","A$$ and TD's","Diddlers on the Roof","87.7","103.0"
"","The Little Giants","Big Dick Nick","59.7","88.1"
"","Medical Malpractice","The Waiver Wire","78.1","81.1"
"","Meadville Militia","DeDes Nuts","86.2","99.4"
"","Brown Town Clowns","Black Juliet's","115.7","78.3"
"","Black Juliet's","John Brown Town Clowns","79.9","51.4"
"","The Little Giants","Team Trosch","81.3","94.5"
"","Dirty Dick Dave","Brown Town Clowns","99.9","113.1"
"","Meadville Militia","The Waiver Wire","103.2","68.8"
"","Big Dick Nick","A$$ and TD's","106.8","47.7"
"","Medical Malpractice","Diddlers on the Roof","103.8","96.7"
"","DeDes Nuts","Team Girth Brooks","55.8","69.4"
"","John Brown Town Clowns","Team Trosch","49.9","71.7"
"","Big Dick Nick","Meadville Militia","104.2","74.0"
"","Team Girth Brooks","A$$ and TD's","83.5","74.2"
"","The Little Giants","Dirty Dick Dave","87.9","87.9"
"","Brown Town Clowns","Diddlers on the Roof","101.9","74.1"
"","Black Juliet's","The Waiver Wire","126.4","104.4"
"","DeDes Nuts","Medical Malpractice","60.3","86.7"
