"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","Brown Town Clowns","Team Scoregasm","94.7","86.3"
"","3 Dreaded Monster","Meadville Militia","91.7","121.7"
"","HBO Presents: The Waiver Wire","Dirty Sanchez","78.3","130.5"
"","German Army Helmets","HBO Presents: The Waiver Wire","68.5","142.3"
"","Black Juliet's","DidITellYou? ILikeToDance","95.3","89.7"
"","Team Scoregasm","Wide Right","57.9","98.2"
"","Meadville Militia","Team Widenher","145.6","88.4"
"","Dirty Sanchez","Brown Town Clowns","84.9","73.7"
"","Dirty Dick Dave","3 Dreaded Monster","73.0","112.3"
"","Brown Town Clowns","German Army Helmets","39.2","112.2"
"","Team Scoregasm","Black Juliet's","115.7","82.5"
"","DidITellYou? ILikeToDance","Meadville Militia","124.8","97.0"
"","Wide Right","Dirty Sanchez","103.9","89.6"
"","Team Widenher","Dirty Dick Dave","124.0","112.4"
"","3 Dreaded Monster","HBO Presents: The Waiver Wire","73.8","98.9"
"","German Army Helmets","Wide Right","105.8","89.3"
"","Black Juliet's","Meadville Militia","82.4","124.2"
"","Dirty Sanchez","Team Scoregasm","107.5","83.9"
"","Dirty Dick Dave","DidITellYou? ILikeToDance","85.6","39.2"
"","HBO Presents: The Waiver Wire","Team Widenher","112.2","79.7"
"","3 Dreaded Monster","Brown Town Clowns","92.8","89.3"
"","Team Scoregasm","German Army Helmets","92.2","136.5"
"","Dirty Sanchez","Black Juliet's","131.3","118.1"
"","Meadville Militia","Dirty Dick Dave","185.2","108.9"
"","DidITellYou? ILikeToDance","HBO Presents: The Waiver Wire","92.8","96.8"
"","Wide Right","3 Dreaded Monster","41.0","82.1"
"","Team Widenher","Brown Town Clowns","98.5","117.2"
"","German Army Helmets","Dirty Sanchez","110.4","110.4"
"","Black Juliet's","Dirty Dick Dave","66.6","116.9"
"","HBO Presents: The Waiver Wire","Meadville Militia","106.5","129.3"
"","3 Dreaded Monster","Team Scoregasm","60.7","95.0"
"","Brown Town Clowns","DidITellYou? ILikeToDance","61.9","93.1"
"","Team Widenher","Wide Right","113.9","52.2"
"","German Army Helmets","Black Juliet's","79.1","91.1"
"","Dirty Dick Dave","HBO Presents: The Waiver Wire","134.2","131.4"
"","Dirty Sanchez","3 Dreaded Monster","89.3","98.9"
"","Meadville Militia","Brown Town Clowns","89.3","62.6"
"","Team Scoregasm","Team Widenher","75.2","106.6"
"","DidITellYou? ILikeToDance","Wide Right","126.9","129.1"
"","3 Dreaded Monster","German Army Helmets","96.9","114.9"
"","Black Juliet's","HBO Presents: The Waiver Wire","109.3","83.5"
"","Brown Town Clowns","Dirty Dick Dave","76.9","119.3"
"","Team Widenher","Dirty Sanchez","72.5","85.5"
"","Wide Right","Meadville Militia","77.1","98.2"
"","DidITellYou? ILikeToDance","Team Scoregasm","19.3","72.9"
"","German Army Helmets","Team Widenher","99.6","73.7"
"","3 Dreaded Monster","Black Juliet's","95.4","91.9"
"","HBO Presents: The Waiver Wire","Brown Town Clowns","127.8","52.1"
"","Dirty Dick Dave","Wide Right","149.6","74.6"
"","Dirty Sanchez","DidITellYou? ILikeToDance","75.9","131.4"
"","Meadville Militia","Team Scoregasm","88.6","115.6"
"","DidITellYou? ILikeToDance","German Army Helmets","64.3","75.0"
"","Black Juliet's","Brown Town Clowns","87.0","110.7"
"","Team Widenher","3 Dreaded Monster","109.4","86.9"
"","Wide Right","HBO Presents: The Waiver Wire","51.3","117.8"
"","Team Scoregasm","Dirty Dick Dave","121.1","117.1"
"","Meadville Militia","Dirty Sanchez","120.9","97.8"
"2015","Dirty Sanchez","Beau Fleuve","70.9","77.3"
"","R.I.P. Charles R.I.P. Allen","Brown Town Clowns","105.0","115.1"
"","El Criminales","The Chosen Ones","91.2","120.1"
"","The Injury report","Dirty Dick Dave","91.1","128.8"
"","Black Juliet's","Team Scoregasm","105.7","123.8"
"","Beau Fleuve","The Injury report","96.2","70.0"
"","Dirty Sanchez","R.I.P. Charles R.I.P. Allen","65.8","76.9"
"","Brown Town Clowns","El Criminales","90.5","117.4"
"","The Chosen Ones","Black Juliet's","70.8","93.9"
"","Dirty Dick Dave","Team Scoregasm","103.0","115.1"
"","Team Scoregasm","Beau Fleuve","113.3","91.9"
"","R.I.P. Charles R.I.P. Allen","El Criminales","110.7","52.6"
"","The Injury report","Dirty Sanchez","105.1","79.1"
"","Black Juliet's","Brown Town Clowns","140.6","144.2"
"","Dirty Dick Dave","The Chosen Ones","92.7","150.9"
"","Beau Fleuve","The Chosen Ones","90.3","74.3"
"","The Injury report","R.I.P. Charles R.I.P. Allen","79.1","76.1"
"","El Criminales","Black Juliet's","91.6","120.4"
"","Dirty Sanchez","Team Scoregasm","106.2","38.1"
"","Brown Town Clowns","Dirty Dick Dave","102.6","103.1"
"","Beau Fleuve","Brown Town Clowns","101.6","83.6"
"","R.I.P. Charles R.I.P. Allen","Black Juliet's","99.3","115.0"
"","Team Scoregasm","The Injury report","84.4","99.6"
"","Dirty Dick Dave","El Criminales","123.1","143.9"
"","The Chosen Ones","Dirty Sanchez","54.2","97.7"
"","El Criminales","Beau Fleuve","131.6","119.7"
"","Team Scoregasm","R.I.P. Charles R.I.P. Allen","84.1","91.4"
"","Black Juliet's","Dirty Dick Dave","123.5","105.6"
"","The Injury report","The Chosen Ones","85.9","74.3"
"","Dirty Sanchez","Brown Town Clowns","94.2","121.2"
"","Beau Fleuve","Black Juliet's","93.8","91.4"
"","R.I.P. Charles R.I.P. Allen","Dirty Dick Dave","127.0","101.1"
"","The Chosen Ones","Team Scoregasm","135.8","117.7"
"","Brown Town Clowns","The Injury report","92.8","81.7"
"","Dirty Sanchez","El Criminales","99.4","112.3"
"","Dirty Dick Dave","Beau Fleuve","104.0","119.9"
"","The Chosen Ones","R.I.P. Charles R.I.P. Allen","107.8","95.2"
"","Team Scoregasm","Brown Town Clowns","106.8","118.3"
"","Black Juliet's","Dirty Sanchez","77.6","76.2"
"","The Injury report","El Criminales","76.6","78.8"
"","R.I.P. Charles R.I.P. Allen","Beau Fleuve","108.1","107.2"
"","Brown Town Clowns","The Chosen Ones","109.2","90.5"
"","Dirty Sanchez","Dirty Dick Dave","119.1","105.8"
"","El Criminales","Team Scoregasm","129.0","118.5"
"","The Injury report","Black Juliet's","66.1","130.0"
"","Beau Fleuve","Dirty Sanchez","106.2","70.0"
"","Brown Town Clowns","R.I.P. Charles R.I.P. Allen","85.2","147.8"
"","The Chosen Ones","El Criminales","68.9","75.9"
"","Dirty Dick Dave","The Injury report","125.7","66.5"
"","Team Scoregasm","Black Juliet's","99.6","66.0"
"","The Injury report","Beau Fleuve","78.0","48.7"
"","R.I.P. Charles R.I.P. Allen","Dirty Sanchez","109.1","44.6"
"","El Criminales","Brown Town Clowns","85.8","104.3"
"","Black Juliet's","The Chosen Ones","64.8","107.4"
"","Team Scoregasm","Dirty Dick Dave","88.1","130.5"
"","Beau Fleuve","Team Scoregasm","165.1","93.9"
"","El Criminales","R.I.P. Charles R.I.P. Allen","103.8","75.5"
"","Dirty Sanchez","The Injury report","95.9","66.3"
"","Brown Town Clowns","Black Juliet's","89.1","60.7"
"","The Chosen Ones","Dirty Dick Dave","81.8","145.4"
"","The Chosen Ones","Beau Fleuve","111.9","90.4"
"","R.I.P. Charles R.I.P. Allen","The Injury report","104.2","96.4"
"","Black Juliet's","El Criminales","123.7","112.2"
"","Team Scoregasm","Dirty Sanchez","113.1","95.3"
"","Dirty Dick Dave","Brown Town Clowns","133.7","106.5"
"","Brown Town Clowns","Beau Fleuve","114.7","115.4"
"","Black Juliet's","R.I.P. Charles R.I.P. Allen","60.3","104.3"
"","The Injury report","Team Scoregasm","88.3","95.2"
"","El Criminales","Dirty Dick Dave","65.2","109.5"
"","Dirty Sanchez","The Chosen Ones","115.1","95.2"
"2016","The Little Giants","Beau Fleuve","81.8","108.8"
"","Brown Town Clowns","Bergers and Johnsons","83.6","117.4"
"","Dirty Dick Dave","Black Juliet's","82.5","124.4"
"","Cleveland Browns","Dirty Sanchez","118.9","134.7"
"","Gurley's Gone Wild","The Injury Report","70.1","117.1"
"","The Injury Report","Beau Fleuve","92.2","87.3"
"","Dirty Dick Dave","Brown Town Clowns","98.1","102.8"
"","Bergers and Johnsons","Cleveland Browns","78.5","67.2"
"","Black Juliet's","Gurley's Gone Wild","120.4","103.4"
"","Dirty Sanchez","The Little Giants","87.6","90.9"
"","Beau Fleuve","Black Juliet's","111.5","96.0"
"","Brown Town Clowns","Cleveland Browns","79.3","98.8"
"","Gurley's Gone Wild","Dirty Dick Dave","127.2","139.6"
"","The Little Giants","Bergers and Johnsons","100.0","56.7"
"","The Injury Report","Dirty Sanchez","89.6","100.5"
"","Dirty Dick Dave","Beau Fleuve","120.9","37.4"
"","Gurley's Gone Wild","Brown Town Clowns","96.4","86.1"
"","Cleveland Browns","The Little Giants","100.7","99.6"
"","Bergers and Johnsons","The Injury Report","120.0","132.0"
"","Black Juliet's","Dirty Sanchez","131.7","74.2"
"","Beau Fleuve","Gurley's Gone Wild","79.4","110.6"
"","Brown Town Clowns","The Little Giants","92.7","123.3"
"","The Injury Report","Cleveland Browns","102.8","121.4"
"","Dirty Sanchez","Dirty Dick Dave","87.6","112.2"
"","Black Juliet's","Bergers and Johnsons","76.5","143.0"
"","Beau Fleuve","Brown Town Clowns","95.8","97.9"
"","The Little Giants","The Injury Report","125.6","104.7"
"","Gurley's Gone Wild","Dirty Sanchez","106.7","88.5"
"","Cleveland Browns","Black Juliet's","85.3","95.3"
"","Dirty Dick Dave","Bergers and Johnsons","56.2","101.3"
"","Dirty Sanchez","Beau Fleuve","120.7","94.8"
"","Brown Town Clowns","The Injury Report","53.8","78.3"
"","Black Juliet's","The Little Giants","143.2","86.7"
"","Bergers and Johnsons","Gurley's Gone Wild","128.4","103.1"
"","Dirty Dick Dave","Cleveland Browns","61.1","77.4"
"","Beau Fleuve","Bergers and Johnsons","83.3","97.1"
"","Dirty Sanchez","Brown Town Clowns","133.6","90.7"
"","The Injury Report","Black Juliet's","79.1","86.3"
"","The Little Giants","Dirty Dick Dave","85.8","136.2"
"","Gurley's Gone Wild","Cleveland Browns","96.5","79.4"
"","Cleveland Browns","Beau Fleuve","110.4","117.9"
"","Brown Town Clowns","Black Juliet's","71.4","126.1"
"","Bergers and Johnsons","Dirty Sanchez","86.6","116.5"
"","Dirty Dick Dave","The Injury Report","77.1","146.0"
"","Gurley's Gone Wild","The Little Giants","87.8","101.7"
"","Beau Fleuve","The Little Giants","85.4","79.6"
"","Bergers and Johnsons","Brown Town Clowns","131.7","69.0"
"","Black Juliet's","Dirty Dick Dave","135.6","83.6"
"","Dirty Sanchez","Cleveland Browns","109.8","92.2"
"","The Injury Report","Gurley's Gone Wild","76.9","129.4"
"","Beau Fleuve","The Injury Report","54.7","69.2"
"","Brown Town Clowns","Dirty Dick Dave","91.1","101.4"
"","Cleveland Browns","Bergers and Johnsons","77.5","133.7"
"","Gurley's Gone Wild","Black Juliet's","122.0","92.6"
"","The Little Giants","Dirty Sanchez","110.0","74.9"
"","Black Juliet's","Beau Fleuve","102.1","94.8"
"","Cleveland Browns","Brown Town Clowns","51.4","100.1"
"","Dirty Dick Dave","Gurley's Gone Wild","100.8","93.2"
"","Bergers and Johnsons","The Little Giants","130.5","95.3"
"","Dirty Sanchez","The Injury Report","112.1","97.5"
"","Beau Fleuve","Dirty Dick Dave","98.6","135.3"
"","Brown Town Clowns","Gurley's Gone Wild","84.2","96.3"
"","The Little Giants","Cleveland Browns","92.7","89.3"
"","The Injury Report","Bergers and Johnsons","115.7","110.6"
"","Dirty Sanchez","Black Juliet's","71.8","96.7"
"","Gurley's Gone Wild","Beau Fleuve","72.4","70.9"
